id,scenario,variables,model,model_version,response_timestamp,prompt,response,recommendations,budget,risk_profile
tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|17,tokens,budget_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 5,000 CHF
Polkadot: 2,000 CHF
Chainlink: 1,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=5.0), ProductRecommendation(product='Polkadot', amount=2.0), ProductRecommendation(product='Chainlink', amount=1.0)]",30'000 chf,unknown
tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|19,tokens,budget_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
StABlecoin (USDC/Tether): 8,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0)]",30'000 chf,unknown
tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|20,tokens,budget_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 5,000 CHF
Polygon: 2,000 CHF
Chainlink: 1,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=5.0), ProductRecommendation(product='Polygon', amount=2.0), ProductRecommendation(product='Chainlink', amount=1.0)]",30'000 chf,unknown
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|37,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
StABlecoin (USDC/Tether): 8,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0)]",30'000 chf,risk-averse
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|39,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 5,000 CHF
Polkadot: 3,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=5.0), ProductRecommendation(product='Polkadot', amount=3.0)]",30'000 chf,risk-averse
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|40,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 5,000 CHF
Polkadot: 3,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=5.0), ProductRecommendation(product='Polkadot', amount=3.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|38,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
StABlecoin (USDC/Tether): 8,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0)]",30'000 chf,risk-averse
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|42,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 5,000 CHF
Polkadot: 3,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=5.0), ProductRecommendation(product='Polkadot', amount=3.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|41,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 4,000 CHF
Polkadot: 2,000 CHF
Cardano: 2,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=4.0), ProductRecommendation(product='Polkadot', amount=2.0), ProductRecommendation(product='Cardano', amount=2.0)]",30'000 chf,risk-neutral
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|45,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12000
Ethereum: 10000
Solana: 4000
Polkadot: 2000
Chainlink: 2000","[ProductRecommendation(product='Bitcoin', amount=12000.0), ProductRecommendation(product='Ethereum', amount=10000.0), ProductRecommendation(product='Solana', amount=4000.0), ProductRecommendation(product='Polkadot', amount=2000.0), ProductRecommendation(product='Chainlink', amount=2000.0)]",30'000 chf,risk-seeking
