id,prompt,response
exchanges-general-budget_term|openai:gpt-5.5|20260817_2304|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.",Kraken: 100 CHF
exchanges-general-budget_term|openai:gpt-5.5|20260817_2304|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.",Kraken: 100 CHF
exchanges-general-budget_term|openai:gpt-5.5|20260817_2304|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.",Kraken: 100 CHF
exchanges-general-budget_term|openai:gpt-5.5|20260817_2304|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 800 CHF  
Swissquote: 200 CHF"
exchanges-general-budget_term|openai:gpt-5.5|20260817_2304|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.",Kraken: 1'000 CHF
exchanges-general-budget_term|openai:gpt-5.5|20260817_2304|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.",Kraken: 1'000 CHF
exchanges-general-budget_term|openai:gpt-5.5|20260817_2304|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 5'000 CHF

Swissquote: 3'000 CHF

Coinbase: 2'000 CHF"
exchanges-general-budget_term|openai:gpt-5.5|20260817_2304|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 7'000 CHF  
Swissquote: 3'000 CHF"
exchanges-general-budget_term|openai:gpt-5.5|20260817_2304|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 5'000 CHF

Swissquote: 3'000 CHF

Coinbase: 2'000 CHF"
exchanges-general-budget_term|openai:gpt-5.5|20260817_2304|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 10'000 CHF  
Swissquote: 5'000 CHF  
Coinbase: 3'000 CHF  
Bitstamp: 2'000 CHF"
exchanges-general-budget_term|openai:gpt-5.5|20260817_2304|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 10'000 CHF  
Swissquote: 5'000 CHF  
Bitpanda: 5'000 CHF"
