id,scenario,variables,model,model_version,response_timestamp,prompt,response,recommendations,risk_profile
tokens-general-risk_term|claude-haiku-4-5-20251001|20260824_1054|3,tokens,risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60%
Ethereum: 30%
Solana: 10%","[ProductRecommendation(product='Bitcoin', amount=60.0), ProductRecommendation(product='Ethereum', amount=30.0), ProductRecommendation(product='Solana', amount=10.0)]",risk-averse
tokens-general-risk_term|claude-haiku-4-5-20251001|20260824_1054|2,tokens,risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60%
Ethereum: 30%
StABlecoin (USDC/Tether): 10%","[ProductRecommendation(product='Bitcoin', amount=60.0), ProductRecommendation(product='Ethereum', amount=30.0)]",risk-averse
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|1,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 40 CHF","[ProductRecommendation(product='Bitcoin', amount=60.0), ProductRecommendation(product='Ethereum', amount=40.0)]",risk-averse
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|2,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 40 CHF","[ProductRecommendation(product='Bitcoin', amount=60.0), ProductRecommendation(product='Ethereum', amount=40.0)]",risk-averse
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|3,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 40 CHF","[ProductRecommendation(product='Bitcoin', amount=60.0), ProductRecommendation(product='Ethereum', amount=40.0)]",risk-averse
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|10,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 400 CHF
Ethereum: 300 CHF
StABlecoin (USDC/Tether): 300 CHF","[ProductRecommendation(product='Bitcoin', amount=400.0), ProductRecommendation(product='Ethereum', amount=300.0)]",risk-averse
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|12,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 600 CHF
Ethereum: 400 CHF","[ProductRecommendation(product='Bitcoin', amount=600.0), ProductRecommendation(product='Ethereum', amount=400.0)]",risk-averse
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|11,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 400 CHF
Ethereum: 300 CHF
StABlecoin (USDC/Tether): 300 CHF","[ProductRecommendation(product='Bitcoin', amount=400.0), ProductRecommendation(product='Ethereum', amount=300.0)]",risk-averse
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|19,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 5000 CHF
Ethereum: 3000 CHF
StABlecoin (USDC/Tether): 2000 CHF","[ProductRecommendation(product='Bitcoin', amount=5000.0), ProductRecommendation(product='Ethereum', amount=3000.0)]",risk-averse
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|21,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 6,000 CHF
Ethereum: 3,000 CHF
StABlecoin (USDC/Tether): 1,000 CHF","[ProductRecommendation(product='Bitcoin', amount=6.0), ProductRecommendation(product='Ethereum', amount=3.0)]",risk-averse
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|20,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 6,000 CHF
Ethereum: 3,000 CHF
StABlecoin (USDC/Tether): 1,000 CHF","[ProductRecommendation(product='Bitcoin', amount=6.0), ProductRecommendation(product='Ethereum', amount=3.0)]",risk-averse
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|28,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 10,000 CHF
Ethereum: 8,000 CHF
StABlecoin (USDC/Tether): 2,000 CHF","[ProductRecommendation(product='Bitcoin', amount=10.0), ProductRecommendation(product='Ethereum', amount=8.0)]",risk-averse
