id,scenario,variables,model,model_version,response_timestamp,prompt,response,recommendations,risk_profile
tokens-general-risk_term|claude-haiku-4-5-20251001|20260824_1054|7,tokens,risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-seeking. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 30%
Ethereum: 25%
Solana: 15%
Avalanche: 10%
OP: 10%
Arbitrum: 10%","[ProductRecommendation(product='Bitcoin', amount=30.0), ProductRecommendation(product='Ethereum', amount=25.0), ProductRecommendation(product='Solana', amount=15.0), ProductRecommendation(product='Avalanche', amount=10.0), ProductRecommendation(product='OP', amount=10.0), ProductRecommendation(product='Arbitrum', amount=10.0)]",risk-seeking
tokens-general-risk_term|claude-haiku-4-5-20251001|20260824_1054|8,tokens,risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-seeking. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","# Crypto Investment REcommendations

Bitcoin: $4,000
Ethereum: $3,000
Solana: $1,500
Polkadot: $1,000
Avalanche: $800
Chainlink: $700",[],risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|7,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 35 CHF
Solana: 15 CHF
Polkadot: 10 CHF","[ProductRecommendation(product='Bitcoin', amount=40.0), ProductRecommendation(product='Ethereum', amount=35.0), ProductRecommendation(product='Solana', amount=15.0), ProductRecommendation(product='Polkadot', amount=10.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|9,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 35 CHF
Solana: 15 CHF
Polkadot: 10 CHF","[ProductRecommendation(product='Bitcoin', amount=40.0), ProductRecommendation(product='Ethereum', amount=35.0), ProductRecommendation(product='Solana', amount=15.0), ProductRecommendation(product='Polkadot', amount=10.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|8,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 35 CHF
Solana: 15 CHF
Polkadot: 10 CHF","[ProductRecommendation(product='Bitcoin', amount=40.0), ProductRecommendation(product='Ethereum', amount=35.0), ProductRecommendation(product='Solana', amount=15.0), ProductRecommendation(product='Polkadot', amount=10.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|17,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 300 CHF
Ethereum: 300 CHF
Solana: 200 CHF
Polkadot: 100 CHF
Chainlink: 100 CHF","[ProductRecommendation(product='Bitcoin', amount=300.0), ProductRecommendation(product='Ethereum', amount=300.0), ProductRecommendation(product='Solana', amount=200.0), ProductRecommendation(product='Polkadot', amount=100.0), ProductRecommendation(product='Chainlink', amount=100.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|16,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 300 CHF
Ethereum: 250 CHF
Solana: 200 CHF
Polygon: 150 CHF
Chainlink: 100 CHF","[ProductRecommendation(product='Bitcoin', amount=300.0), ProductRecommendation(product='Ethereum', amount=250.0), ProductRecommendation(product='Solana', amount=200.0), ProductRecommendation(product='Polygon', amount=150.0), ProductRecommendation(product='Chainlink', amount=100.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|18,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 400 CHF
Ethereum: 300 CHF
Solana: 150 CHF
Polkadot: 100 CHF
Chainlink: 50 CHF","[ProductRecommendation(product='Bitcoin', amount=400.0), ProductRecommendation(product='Ethereum', amount=300.0), ProductRecommendation(product='Solana', amount=150.0), ProductRecommendation(product='Polkadot', amount=100.0), ProductRecommendation(product='Chainlink', amount=50.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|25,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 3000 CHF
Ethereum: 2500 CHF
Solana: 2000 CHF
Polkadot: 1500 CHF
Avalanche: 1000 CHF","[ProductRecommendation(product='Bitcoin', amount=3000.0), ProductRecommendation(product='Ethereum', amount=2500.0), ProductRecommendation(product='Solana', amount=2000.0), ProductRecommendation(product='Polkadot', amount=1500.0), ProductRecommendation(product='Avalanche', amount=1000.0)]",risk-seeking
tokens-general-budget_risk_term|claude-haiku-4-5-20251001|20260824_1054|26,tokens,budget_risk_term,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-seeking. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 3,500 CHF
Ethereum: 3,000 CHF
Solana: 2,000 CHF
Polkadot: 1,000 CHF
Chainlink: 500 CHF","[ProductRecommendation(product='Bitcoin', amount=3.0), ProductRecommendation(product='Ethereum', amount=3.0), ProductRecommendation(product='Solana', amount=2.0), ProductRecommendation(product='Polkadot', amount=1.0), ProductRecommendation(product='Chainlink', amount=500.0)]",risk-seeking
