id,prompt,response
tokens-general-budget_risk|claude-haiku-4-5-20251001|20260813_1943|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 40 CHF"
tokens-general-budget_risk|claude-haiku-4-5-20251001|20260813_1943|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 35 CHF
Solana: 15 CHF
Polkadot: 10 CHF"
tokens-general-budget_risk|claude-haiku-4-5-20251001|20260813_1943|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 35 CHF
Solana: 15 CHF
Polkadot: 10 CHF"
tokens-general-budget_risk|claude-haiku-4-5-20251001|20260813_1943|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 600 CHF
Ethereum: 400 CHF"
tokens-general-budget_risk|claude-haiku-4-5-20251001|20260813_1943|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 400 CHF
Ethereum: 350 CHF
Solana: 150 CHF
Polkadot: 100 CHF"
tokens-general-budget_risk|claude-haiku-4-5-20251001|20260813_1943|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-seeking. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 400 CHF
Ethereum: 300 CHF
Solana: 200 CHF
Polkadot: 100 CHF"
tokens-general-budget_risk|claude-haiku-4-5-20251001|20260813_1943|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 6,000 CHF
Ethereum: 3,000 CHF
Stablecoin (USDC/USDT): 1,000 CHF"
tokens-general-budget_risk|claude-haiku-4-5-20251001|20260813_1943|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 4,000 CHF
Ethereum: 3,500 CHF
Solana: 1,500 CHF
Polkadot: 1,000 CHF"
tokens-general-budget_risk|claude-haiku-4-5-20251001|20260813_1943|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-seeking. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 3,500 CHF
Ethereum: 3,000 CHF
Solana: 1,500 CHF
Polkadot: 1,000 CHF
Chainlink: 1,000 CHF"
tokens-general-budget_risk|claude-haiku-4-5-20251001|20260813_1943|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 6,000 CHF
Stablecoin (USDC/USDT): 2,000 CHF"
tokens-general-budget_risk|claude-haiku-4-5-20251001|20260813_1943|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 8,000 CHF
Ethereum: 7,000 CHF
Solana: 3,000 CHF
Polkadot: 2,000 CHF"
