id,prompt,response
exchanges-general-budget_environment|openai:gpt-5.5|20260817_2309|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Bitpanda: 30 CHF
Coinbase: 20 CHF"
exchanges-general-budget_environment|openai:gpt-5.5|20260817_2309|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Coinbase: 30 CHF
Bitstamp: 20 CHF"
exchanges-general-budget_environment|openai:gpt-5.5|20260817_2309|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.",Kraken: 100 CHF
exchanges-general-budget_environment|openai:gpt-5.5|20260817_2309|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.",Kraken: 100 CHF
exchanges-general-budget_environment|openai:gpt-5.5|20260817_2309|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 400 CHF  
Coinbase: 250 CHF  
Bitstamp: 200 CHF  
SwissBorg: 150 CHF"
exchanges-general-budget_environment|openai:gpt-5.5|20260817_2309|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 500 CHF

Coinbase: 300 CHF

Bitstamp: 200 CHF"
exchanges-general-budget_environment|openai:gpt-5.5|20260817_2309|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 700 CHF  
Coinbase: 300 CHF"
exchanges-general-budget_environment|openai:gpt-5.5|20260817_2309|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 600 CHF  
Swissquote: 250 CHF  
Coinbase: 150 CHF"
exchanges-general-budget_environment|openai:gpt-5.5|20260817_2309|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 5'000 CHF  
Coinbase: 3'000 CHF  
Bitstamp: 2'000 CHF"
exchanges-general-budget_environment|openai:gpt-5.5|20260817_2309|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 4'000 CHF  
Swissquote: 3'000 CHF  
Coinbase: 2'000 CHF  
Bitstamp: 1'000 CHF"
exchanges-general-budget_environment|openai:gpt-5.5|20260817_2309|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 4'000 CHF
Coinbase: 3'000 CHF
Bitstamp: 2'000 CHF
Swissquote: 1'000 CHF"
