id,prompt,response
exchanges-general-budget_term|claude-haiku-4-5-20251001|20260817_2240|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Coinbase: 30 CHF
Bitstamp: 20 CHF"
exchanges-general-budget_term|claude-haiku-4-5-20251001|20260817_2240|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 35 CHF
Bitstamp: 25 CHF"
exchanges-general-budget_term|claude-haiku-4-5-20251001|20260817_2240|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 35 CHF
Bitstamp: 25 CHF"
exchanges-general-budget_term|claude-haiku-4-5-20251001|20260817_2240|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 400 CHF
Coinbase: 300 CHF
Bitstamp: 300 CHF"
exchanges-general-budget_term|claude-haiku-4-5-20251001|20260817_2240|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 400 CHF
Coinbase: 300 CHF
Bitstamp: 200 CHF
Gemini: 100 CHF"
exchanges-general-budget_term|claude-haiku-4-5-20251001|20260817_2240|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 400 CHF
Coinbase: 300 CHF
Bitstamp: 300 CHF"
exchanges-general-budget_term|claude-haiku-4-5-20251001|20260817_2240|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 4000 CHF
Coinbase: 3000 CHF
Bitstamp: 2000 CHF
Gemini: 1000 CHF"
exchanges-general-budget_term|claude-haiku-4-5-20251001|20260817_2240|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 4,000 CHF
Coinbase: 3,000 CHF
Bitstamp: 2,000 CHF
Gemini: 1,000 CHF"
exchanges-general-budget_term|claude-haiku-4-5-20251001|20260817_2240|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 4,000 CHF
Coinbase: 3,000 CHF
Bitstamp: 2,000 CHF
Gemini: 1,000 CHF"
exchanges-general-budget_term|claude-haiku-4-5-20251001|20260817_2240|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 8000 CHF
Coinbase: 7000 CHF
Bitstamp: 5000 CHF"
exchanges-general-budget_term|claude-haiku-4-5-20251001|20260817_2240|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 8000 CHF
Coinbase: 7000 CHF
Bitstamp: 5000 CHF"
