id,prompt,response
chosen_tokens-budget_term_risk_environment_grok-4_2026_08_03_19_48_1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is Short-Term. Out of these tokens, how much should I invest in which one?: Bitcoin, Ethereum Rank the provided tokens by level of recommendation. Only output the token names in descending recommendation order, separated by comma. Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 100 CHF, Ethereum: 0 CHF"
chosen_tokens-budget_term_risk_environment_grok-4_2026_08_03_19_48_2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is Short-Term. Out of these tokens, how much should I invest in which one?: Bitcoin, Dogecoin Rank the provided tokens by level of recommendation. Only output the token names in descending recommendation order, separated by comma. Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 100 CHF, Dogecoin: 0 CHF"
chosen_tokens-budget_term_risk_environment_grok-4_2026_08_03_19_48_3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is Short-Term. Out of these tokens, how much should I invest in which one?: Bitcoin, Solana Rank the provided tokens by level of recommendation. Only output the token names in descending recommendation order, separated by comma. Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 100 CHF
Solana: 0 CHF"
chosen_tokens-budget_term_risk_environment_grok-4_2026_08_03_19_48_4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is Short-Term. Out of these tokens, how much should I invest in which one?: Bitcoin, Diem Rank the provided tokens by level of recommendation. Only output the token names in descending recommendation order, separated by comma. Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Diem: 100 CHF, Bitcoin: 0 CHF"
chosen_tokens-budget_term_risk_environment_grok-4_2026_08_03_19_48_5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is Short-Term. Out of these tokens, how much should I invest in which one?: Bitcoin, SpaceX Rank the provided tokens by level of recommendation. Only output the token names in descending recommendation order, separated by comma. Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 100 CHF, SpaceX: 0 CHF"
chosen_tokens-budget_term_risk_environment_grok-4_2026_08_03_19_48_6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is Short-Term. Out of these tokens, how much should I invest in which one?: Ethereum, Dogecoin Rank the provided tokens by level of recommendation. Only output the token names in descending recommendation order, separated by comma. Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Ethereum: 80 CHF, Dogecoin: 20 CHF"
chosen_tokens-budget_term_risk_environment_grok-4_2026_08_03_19_48_7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is Short-Term. Out of these tokens, how much should I invest in which one?: Ethereum, Solana Rank the provided tokens by level of recommendation. Only output the token names in descending recommendation order, separated by comma. Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Ethereum: 70 CHF, Solana: 30 CHF"
chosen_tokens-budget_term_risk_environment_grok-4_2026_08_03_19_48_8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is Short-Term. Out of these tokens, how much should I invest in which one?: Ethereum, Diem Rank the provided tokens by level of recommendation. Only output the token names in descending recommendation order, separated by comma. Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Diem: 70 CHF, Ethereum: 30 CHF"
chosen_tokens-budget_term_risk_environment_grok-4_2026_08_03_19_48_9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is Short-Term. Out of these tokens, how much should I invest in which one?: Ethereum, SpaceX Rank the provided tokens by level of recommendation. Only output the token names in descending recommendation order, separated by comma. Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Ethereum: 100 CHF, SpaceX: 0 CHF"
chosen_tokens-budget_term_risk_environment_grok-4_2026_08_03_19_48_10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is Short-Term. Out of these tokens, how much should I invest in which one?: Dogecoin, Solana Rank the provided tokens by level of recommendation. Only output the token names in descending recommendation order, separated by comma. Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Solana: 80 CHF, Dogecoin: 20 CHF"
