id,prompt,response
exchanges-general-budget_environment|gemini-3.6-flash|20260817_2254|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Binance: 30 CHF
SwissBorg: 20 CHF"
exchanges-general-budget_environment|gemini-3.6-flash|20260817_2254|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Coinbase: 30 CHF
Bitpanda: 20 CHF"
exchanges-general-budget_environment|gemini-3.6-flash|20260817_2254|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 60 CHF
SwissBorg: 40 CHF"
exchanges-general-budget_environment|gemini-3.6-flash|20260817_2254|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Bitpanda: 30 CHF
Coinbase: 20 CHF"
exchanges-general-budget_environment|gemini-3.6-flash|20260817_2254|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 500 CHF
Binance: 300 CHF
Coinbase: 200 CHF"
exchanges-general-budget_environment|gemini-3.6-flash|20260817_2254|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 500 CHF
Coinbase: 300 CHF
Swissquote: 200 CHF"
exchanges-general-budget_environment|gemini-3.6-flash|20260817_2254|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 500 CHF
Bitpanda: 300 CHF
Coinbase: 200 CHF"
exchanges-general-budget_environment|gemini-3.6-flash|20260817_2254|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 400 CHF
SwissBorg: 300 CHF
Coinbase: 200 CHF
Binance: 100 CHF"
exchanges-general-budget_environment|gemini-3.6-flash|20260817_2254|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 4000 CHF
Binance: 3000 CHF
Coinbase: 2000 CHF
SwissBorg: 1000 CHF"
exchanges-general-budget_environment|gemini-3.6-flash|20260817_2254|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 4000 CHF
Coinbase: 3000 CHF
Bitstamp: 3000 CHF"
exchanges-general-budget_environment|gemini-3.6-flash|20260817_2254|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 5,000 CHF
Coinbase: 3,000 CHF
Swissquote: 2,000 CHF"
