id,prompt,response
tokens-general-budget_term|gemini-3.6-flash|20260813_1740|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50 CHF
Ethereum: 30 CHF
Solana: 20 CHF"
tokens-general-budget_term|gemini-3.6-flash|20260813_1740|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50 CHF
Ethereum: 30 CHF
Solana: 12 CHF
Chainlink: 8 CHF"
tokens-general-budget_term|gemini-3.6-flash|20260813_1740|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 30 CHF
Solana: 10 CHF"
tokens-general-budget_term|gemini-3.6-flash|20260813_1740|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 500 CHF
Ethereum: 300 CHF
Solana: 200 CHF"
tokens-general-budget_term|gemini-3.6-flash|20260813_1740|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 500 CHF
Ethereum: 300 CHF
Solana: 100 CHF
Chainlink: 100 CHF"
tokens-general-budget_term|gemini-3.6-flash|20260813_1740|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 500 CHF
Ethereum: 300 CHF
Solana: 100 CHF
Chainlink: 100 CHF"
tokens-general-budget_term|gemini-3.6-flash|20260813_1740|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 4500 CHF
Ethereum: 3000 CHF
Solana: 1500 CHF
BNB: 1000 CHF"
tokens-general-budget_term|gemini-3.6-flash|20260813_1740|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 4500 CHF
Ethereum: 3000 CHF
Solana: 1500 CHF
Chainlink: 600 CHF
Avalanche: 400 CHF"
tokens-general-budget_term|gemini-3.6-flash|20260813_1740|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 5000 CHF
Ethereum: 3000 CHF
Solana: 1000 CHF
Chainlink: 1000 CHF"
tokens-general-budget_term|gemini-3.6-flash|20260813_1740|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 10,000 CHF
Ethereum: 6,000 CHF
Solana: 2,500 CHF
Chainlink: 1,500 CHF"
