id,prompt,response
tokens-general-budget_term|openai:gpt-5.5|20260813_1947|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF  
Ethereum: 30 CHF  
USD Coin: 10 CHF"
tokens-general-budget_term|openai:gpt-5.5|20260813_1947|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50 CHF
Ethereum: 30 CHF
Solana: 10 CHF
Chainlink: 5 CHF
Avalanche: 5 CHF"
tokens-general-budget_term|openai:gpt-5.5|20260813_1947|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50 CHF
Ethereum: 35 CHF
Solana: 10 CHF
Chainlink: 5 CHF"
tokens-general-budget_term|openai:gpt-5.5|20260813_1947|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 500 CHF  
Ethereum: 300 CHF  
Solana: 100 CHF  
Chainlink: 50 CHF  
USDC: 50 CHF"
tokens-general-budget_term|openai:gpt-5.5|20260813_1947|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 500 CHF
Ethereum: 300 CHF
Solana: 100 CHF
Chainlink: 60 CHF
Aave: 40 CHF"
tokens-general-budget_term|openai:gpt-5.5|20260813_1947|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 550 CHF
Ethereum: 300 CHF
Solana: 75 CHF
Chainlink: 50 CHF
Avalanche: 25 CHF"
tokens-general-budget_term|openai:gpt-5.5|20260813_1947|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 4'000 CHF
Ethereum: 3'000 CHF
USDC: 2'000 CHF
Solana: 700 CHF
Chainlink: 300 CHF"
tokens-general-budget_term|openai:gpt-5.5|20260813_1947|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 5'000 CHF
Ethereum: 3'000 CHF
Solana: 1'000 CHF
Chainlink: 600 CHF
Avalanche: 400 CHF"
tokens-general-budget_term|openai:gpt-5.5|20260813_1947|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is three to ten years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 5'500 CHF
Ethereum: 3'000 CHF
Solana: 800 CHF
Chainlink: 400 CHF
Polygon: 300 CHF"
tokens-general-budget_term|openai:gpt-5.5|20260813_1947|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My investment term is less than one year. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 10'000 CHF  
Ethereum: 5'000 CHF  
USDC: 3'000 CHF  
Solana: 1'500 CHF  
Chainlink: 500 CHF"
tokens-general-budget_term|openai:gpt-5.5|20260813_1947|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My investment term is one to three years. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 10'000 CHF
Ethereum: 6'000 CHF
Solana: 2'000 CHF
Chainlink: 1'000 CHF
Aave: 1'000 CHF"
