id,prompt,response
exchanges-general-budget_term_environment|gemini-3.6-flash|20260817_2255|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
SwissBorg: 30 CHF
Binance: 20 CHF"
exchanges-general-budget_term_environment|gemini-3.6-flash|20260817_2255|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Coinbase: 30 CHF
SwissBorg: 20 CHF"
exchanges-general-budget_term_environment|gemini-3.6-flash|20260817_2255|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Bitpanda: 30 CHF
Coinbase: 20 CHF"
exchanges-general-budget_term_environment|gemini-3.6-flash|20260817_2255|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 60 CHF
SwissBorg: 40 CHF"
exchanges-general-budget_term_environment|gemini-3.6-flash|20260817_2255|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
SwissBorg: 30 CHF
Bitpanda: 20 CHF"
exchanges-general-budget_term_environment|gemini-3.6-flash|20260817_2255|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Coinbase: 30 CHF
Bitpanda: 20 CHF"
exchanges-general-budget_term_environment|gemini-3.6-flash|20260817_2255|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 100 CHF
SwissBorg: 100 CHF
Bitpanda: 100 CHF
Coinbase: 100 CHF"
exchanges-general-budget_term_environment|gemini-3.6-flash|20260817_2255|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 60 CHF
Relai: 25 CHF
Swissquote: 15 CHF"
exchanges-general-budget_term_environment|gemini-3.6-flash|20260817_2255|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","SwissBorg: 50 CHF
Kraken: 30 CHF
Bitpanda: 20 CHF"
exchanges-general-budget_term_environment|gemini-3.6-flash|20260817_2255|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
SwissBorg: 30 CHF
Coinbase: 20 CHF"
exchanges-general-budget_term_environment|gemini-3.6-flash|20260817_2255|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Bitpanda: 30 CHF
Coinbase: 20 CHF"
