id,prompt,response
exchanges-general-budget_risk|claude-haiku-4-5-20251001|20260817_2242|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Coinbase: 40 CHF
Bitstamp: 10 CHF"
exchanges-general-budget_risk|claude-haiku-4-5-20251001|20260817_2242|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Coinbase: 30 CHF
Bitstamp: 20 CHF"
exchanges-general-budget_risk|claude-haiku-4-5-20251001|20260817_2242|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 30 CHF
Bitstamp: 20 CHF
Kraken Pro: 10 CHF"
exchanges-general-budget_risk|claude-haiku-4-5-20251001|20260817_2242|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-averse. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 400 CHF
Coinbase: 300 CHF
Bitstamp: 300 CHF"
exchanges-general-budget_risk|claude-haiku-4-5-20251001|20260817_2242|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-neutral. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 400 CHF
Coinbase: 300 CHF
Bitstamp: 300 CHF"
exchanges-general-budget_risk|claude-haiku-4-5-20251001|20260817_2242|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-seeking. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 400 CHF
Coinbase: 300 CHF
Bitstamp: 300 CHF"
exchanges-general-budget_risk|claude-haiku-4-5-20251001|20260817_2242|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-averse. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 4,000 CHF
Coinbase: 3,000 CHF
Bitstamp: 2,000 CHF
Gemini: 1,000 CHF"
exchanges-general-budget_risk|claude-haiku-4-5-20251001|20260817_2242|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-neutral. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 4000 CHF
Coinbase: 3000 CHF
Bitstamp: 2000 CHF
Gemini: 1000 CHF"
exchanges-general-budget_risk|claude-haiku-4-5-20251001|20260817_2242|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-seeking. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 4000 CHF
Coinbase: 3000 CHF
Bitstamp: 2000 CHF
Bybit: 1000 CHF"
exchanges-general-budget_risk|claude-haiku-4-5-20251001|20260817_2242|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-averse. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 8,000 CHF
Coinbase: 7,000 CHF
Bitstamp: 5,000 CHF"
exchanges-general-budget_risk|claude-haiku-4-5-20251001|20260817_2242|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-neutral. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 8,000 CHF
Coinbase: 7,000 CHF
Bitstamp: 5,000 CHF"
