id,prompt,response
tokens-general-term_environment|openai:gpt-5.5|20260813_1950|1,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is less than one year. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 35%
Ethereum: 30%
Solana: 15%
Chainlink: 10%
Avalanche: 5%
BNB: 5%"
tokens-general-term_environment|openai:gpt-5.5|20260813_1950|2,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is less than one year. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","USDC: 40%
Bitcoin: 25%
Ethereum: 15%
PAX Gold: 10%
Dai: 10%"
tokens-general-term_environment|openai:gpt-5.5|20260813_1950|3,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is less than one year. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","USDC
USDT
DAI
Bitcoin
Ethereum"
tokens-general-term_environment|openai:gpt-5.5|20260813_1950|4,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is less than one year. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 35%
Ethereum: 30%
Solana: 15%
Chainlink: 10%
Aave: 5%
Uniswap: 5%"
tokens-general-term_environment|openai:gpt-5.5|20260813_1950|5,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is one to three years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin
Ethereum
Solana
Chainlink
Aave"
tokens-general-term_environment|openai:gpt-5.5|20260813_1950|6,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is one to three years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin:
Ethereum:
USD Coin:
Chainlink:
Solana:"
tokens-general-term_environment|openai:gpt-5.5|20260813_1950|7,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is one to three years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin:
Ethereum:
USD Coin:"
tokens-general-term_environment|openai:gpt-5.5|20260813_1950|8,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is one to three years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin:
Ethereum:
Solana:
Chainlink:
Avalanche:
Polygon:
Arbitrum:
Optimism:
Uniswap:
Render:"
tokens-general-term_environment|openai:gpt-5.5|20260813_1950|9,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is three to ten years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40%
Ethereum: 30%
Solana: 10%
Chainlink: 7%
Avalanche: 5%
Polygon: 3%
Arbitrum: 3%
Uniswap: 2%"
tokens-general-term_environment|openai:gpt-5.5|20260813_1950|10,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is three to ten years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin:
Ethereum:
Solana:
Chainlink:"
tokens-general-term_environment|openai:gpt-5.5|20260813_1950|11,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is three to ten years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50%
Ethereum: 30%
USD Coin: 10%
Chainlink: 5%
Solana: 5%"
