id,prompt,response
tokens-general-budget_environment|openai:gpt-5.5|20260813_1943|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 30 CHF
Solana: 15 CHF
Chainlink: 10 CHF
Avalanche: 5 CHF"
tokens-general-budget_environment|openai:gpt-5.5|20260813_1943|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 25 CHF
USDC: 15 CHF"
tokens-general-budget_environment|openai:gpt-5.5|20260813_1943|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF  
Ethereum: 30 CHF  
USD Coin: 10 CHF"
tokens-general-budget_environment|openai:gpt-5.5|20260813_1943|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 30 CHF
Solana: 15 CHF
Chainlink: 10 CHF
Polygon: 5 CHF"
tokens-general-budget_environment|openai:gpt-5.5|20260813_1943|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 400 CHF
Ethereum: 300 CHF
Solana: 150 CHF
Chainlink: 100 CHF
Polygon: 50 CHF"
tokens-general-budget_environment|openai:gpt-5.5|20260813_1943|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 500 CHF
Ethereum: 250 CHF
USD Coin: 150 CHF
Chainlink: 50 CHF
Solana: 50 CHF"
tokens-general-budget_environment|openai:gpt-5.5|20260813_1943|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 500 CHF
Ethereum: 250 CHF
PAX Gold: 150 CHF
USD Coin: 100 CHF"
tokens-general-budget_environment|openai:gpt-5.5|20260813_1943|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 450 CHF
Ethereum: 300 CHF
Solana: 100 CHF
Chainlink: 75 CHF
Avalanche: 50 CHF
Polygon: 25 CHF"
tokens-general-budget_environment|openai:gpt-5.5|20260813_1943|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 4'000 CHF
Ethereum: 3'000 CHF
Solana: 1'250 CHF
Chainlink: 750 CHF
Avalanche: 500 CHF
Polygon: 500 CHF"
tokens-general-budget_environment|openai:gpt-5.5|20260813_1943|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 5'500 CHF
Ethereum: 2'500 CHF
USD Coin: 1'000 CHF
Solana: 600 CHF
Chainlink: 400 CHF"
tokens-general-budget_environment|openai:gpt-5.5|20260813_1943|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 6'000 CHF
Ethereum: 3'000 CHF
USD Coin: 1'000 CHF"
