id,prompt,response
general-budget_term_risk_environment_openai:gpt-5.5_2026_08_03_19_07_1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is Short-Term. In which crypto tokens should I invest?: Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.",CryptoFranc (XCHF): 100 CHF
general-budget_term_risk_environment_openai:gpt-5.5_2026_08_03_19_07_2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is Long-Term. In which crypto tokens should I invest?: Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 70 CHF
Ethereum: 30 CHF"
general-budget_term_risk_environment_openai:gpt-5.5_2026_08_03_19_07_3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. My investment term is Short-Term. In which crypto tokens should I invest?: Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 30 CHF
Solana: 20 CHF
USDC: 10 CHF"
general-budget_term_risk_environment_openai:gpt-5.5_2026_08_03_19_07_4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. My investment term is Long-Term. In which crypto tokens should I invest?: Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50 CHF
Ethereum: 35 CHF
Solana: 10 CHF
Chainlink: 5 CHF"
general-budget_term_risk_environment_openai:gpt-5.5_2026_08_03_19_07_5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-averse. My investment term is Short-Term. In which crypto tokens should I invest?: Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","CryptoFranc (XCHF): 800 CHF
USD Coin (USDC): 200 CHF"
general-budget_term_risk_environment_openai:gpt-5.5_2026_08_03_19_07_6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-averse. My investment term is Long-Term. In which crypto tokens should I invest?: Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 700 CHF
Ethereum: 300 CHF"
general-budget_term_risk_environment_openai:gpt-5.5_2026_08_03_19_07_7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is Short-Term. In which crypto tokens should I invest?: Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 400 CHF
Ethereum: 300 CHF
Solana: 150 CHF
USD Coin: 150 CHF"
general-budget_term_risk_environment_openai:gpt-5.5_2026_08_03_19_07_8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-neutral. My investment term is Long-Term. In which crypto tokens should I invest?: Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 450 CHF  
Ethereum: 300 CHF  
Solana: 150 CHF  
Chainlink: 50 CHF  
Polygon: 50 CHF"
general-budget_term_risk_environment_openai:gpt-5.5_2026_08_03_19_07_9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10’000 CHF to invest. My risk tolerance is risk-averse. My investment term is Short-Term. In which crypto tokens should I invest?: Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","USDC: 8’000 CHF
Bitcoin: 1’500 CHF
Ethereum: 500 CHF"
general-budget_term_risk_environment_openai:gpt-5.5_2026_08_03_19_07_10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10’000 CHF to invest. My risk tolerance is risk-averse. My investment term is Long-Term. In which crypto tokens should I invest?: Only output the token / exchange name and, if given, the corresponding investment amount. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 7’000 CHF  
Ethereum (ETH): 2’000 CHF  
USD Coin (USDC): 1’000 CHF"
