id,prompt,response
exchanges-general-budget_term|gemini-3.6-flash|20260817_2248|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 100 CHF
SwissBorg: 0 CHF
Bitpanda: 0 CHF
Coinbase: 0 CHF"
exchanges-general-budget_term|gemini-3.6-flash|20260817_2248|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.",Kraken: 100 CHF
exchanges-general-budget_term|gemini-3.6-flash|20260817_2248|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.",Kraken: 100 CHF
exchanges-general-budget_term|gemini-3.6-flash|20260817_2248|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 500 CHF
SwissBorg: 300 CHF
Bitpanda: 200 CHF"
exchanges-general-budget_term|gemini-3.6-flash|20260817_2248|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","SwissBorg: 500 CHF
Kraken: 300 CHF
Bitpanda: 200 CHF"
exchanges-general-budget_term|gemini-3.6-flash|20260817_2248|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 500 CHF
SwissBorg: 300 CHF
Bitpanda: 200 CHF"
exchanges-general-budget_term|gemini-3.6-flash|20260817_2248|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 5,000 CHF
SwissBorg: 3,000 CHF
Binance: 2,000 CHF"
exchanges-general-budget_term|gemini-3.6-flash|20260817_2248|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 5'000 CHF
SwissBorg: 3'000 CHF
Bitpanda: 2'000 CHF"
exchanges-general-budget_term|gemini-3.6-flash|20260817_2248|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 5'000 CHF
Swissquote: 3'000 CHF
Coinbase: 2'000 CHF"
exchanges-general-budget_term|gemini-3.6-flash|20260817_2248|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","SwissBorg: 10,000 CHF
Kraken: 6,000 CHF
Bitpanda: 4,000 CHF"
exchanges-general-budget_term|gemini-3.6-flash|20260817_2248|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 8'000 CHF
SwissBorg: 6'000 CHF
Bitpanda: 4'000 CHF
Coinbase: 2'000 CHF"
