id,prompt,response
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50 CHF
USD Coin: 30 CHF
Ethereum: 20 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","USD Coin: 50 CHF
PAX Gold: 30 CHF
Bitcoin: 20 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","USDC: 60 CHF
Bitcoin: 30 CHF
Ethereum: 10 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 30 CHF
USD Coin: 10 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 65 CHF
Ethereum (ETH): 35 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","USD Coin: 50 CHF
Bitcoin: 35 CHF
Ethereum: 15 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 60 CHF
Ethereum (ETH): 25 CHF
USD Coin (USDC): 15 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 30 CHF
USD Coin: 10 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 70 CHF
Ethereum: 30 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 70 CHF
Ethereum: 20 CHF
PAX Gold: 10 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 70 CHF
Ethereum (ETH): 30 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|12,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 70 CHF
Ethereum: 30 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|13,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. My investment term is less than one year. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 35 CHF
Ethereum: 25 CHF
Solana: 20 CHF
Chainlink: 10 CHF
NEAR Protocol: 10 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|14,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. My investment term is less than one year. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
PAX Gold: 30 CHF
Ethereum: 20 CHF
USD Coin: 10 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|15,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. My investment term is less than one year. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","BTC: 50 CHF
ETH: 30 CHF
USDC: 20 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|16,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. My investment term is less than one year. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 35 CHF
Solana: 30 CHF
Ethereum: 20 CHF
Chainlink: 15 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|17,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. My investment term is one to three years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 30 CHF
Solana: 20 CHF
Chainlink: 10 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|18,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. My investment term is one to three years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 30 CHF
Solana: 10 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|19,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. My investment term is one to three years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50 CHF
Ethereum: 35 CHF
Solana: 15 CHF"
tokens-general-budget_risk_term_environment|gemini-3.6-flash|20260813_1742|20,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. My investment term is one to three years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 30 CHF
Solana: 20 CHF
Chainlink: 10 CHF"
