id,scenario,variables,model,model_version,response_timestamp,prompt,response,recommendations,market_env
tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|4,tokens,budget_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 35 CHF
Solana: 15 CHF
Polkadot: 10 CHF","[ProductRecommendation(product='Bitcoin', amount=40.0), ProductRecommendation(product='Ethereum', amount=35.0), ProductRecommendation(product='Solana', amount=15.0), ProductRecommendation(product='Polkadot', amount=10.0)]",recovery
tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|8,tokens,budget_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 400 CHF
Ethereum: 300 CHF
Solana: 150 CHF
Polkadot: 150 CHF","[ProductRecommendation(product='Bitcoin', amount=400.0), ProductRecommendation(product='Ethereum', amount=300.0), ProductRecommendation(product='Solana', amount=150.0), ProductRecommendation(product='Polkadot', amount=150.0)]",recovery
tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|16,tokens,budget_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 8,000 CHF
Ethereum: 7,000 CHF
Solana: 3,000 CHF
Polkadot: 2,000 CHF","[ProductRecommendation(product='Bitcoin', amount=8.0), ProductRecommendation(product='Ethereum', amount=7.0), ProductRecommendation(product='Solana', amount=3.0), ProductRecommendation(product='Polkadot', amount=2.0)]",recovery
tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|12,tokens,budget_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 4,000 CHF
Ethereum: 3,000 CHF
Solana: 1,500 CHF
Polkadot: 1,000 CHF
Cardano: 500 CHF","[ProductRecommendation(product='Bitcoin', amount=4.0), ProductRecommendation(product='Ethereum', amount=3.0), ProductRecommendation(product='Solana', amount=1.0), ProductRecommendation(product='Polkadot', amount=1.0), ProductRecommendation(product='Cardano', amount=500.0)]",recovery
tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|20,tokens,budget_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 10,000 CHF
Solana: 5,000 CHF
Polygon: 2,000 CHF
Chainlink: 1,000 CHF","[ProductRecommendation(product='Bitcoin', amount=12.0), ProductRecommendation(product='Ethereum', amount=10.0), ProductRecommendation(product='Solana', amount=5.0), ProductRecommendation(product='Polygon', amount=2.0), ProductRecommendation(product='Chainlink', amount=1.0)]",recovery
tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|24,tokens,budget_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 40'000 CHF to invest. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 16,000 CHF
Ethereum: 12,000 CHF
Solana: 6,000 CHF
Polkadot: 4,000 CHF
Chainlink: 2,000 CHF","[ProductRecommendation(product='Bitcoin', amount=16.0), ProductRecommendation(product='Ethereum', amount=12.0), ProductRecommendation(product='Solana', amount=6.0), ProductRecommendation(product='Polkadot', amount=4.0), ProductRecommendation(product='Chainlink', amount=2.0)]",recovery
tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|28,tokens,budget_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 50'000 CHF to invest. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 20000
Ethereum: 15000
Solana: 8000
Polkadot: 4000
Chainlink: 3000","[ProductRecommendation(product='Bitcoin', amount=20000.0), ProductRecommendation(product='Ethereum', amount=15000.0), ProductRecommendation(product='Solana', amount=8000.0), ProductRecommendation(product='Polkadot', amount=4000.0), ProductRecommendation(product='Chainlink', amount=3000.0)]",recovery
tokens-general-budget_environment|claude-haiku-4-5-20251001|20260824_1054|32,tokens,budget_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100'000 CHF to invest. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40,000 CHF
Ethereum: 35,000 CHF
Solana: 15,000 CHF
Polygon: 10,000 CHF","[ProductRecommendation(product='Bitcoin', amount=40.0), ProductRecommendation(product='Ethereum', amount=35.0), ProductRecommendation(product='Solana', amount=15.0), ProductRecommendation(product='Polygon', amount=10.0)]",recovery
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|4,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50 CHF
Ethereum: 30 CHF
Solana: 20 CHF","[ProductRecommendation(product='Bitcoin', amount=50.0), ProductRecommendation(product='Ethereum', amount=30.0), ProductRecommendation(product='Solana', amount=20.0)]",recovery
tokens-general-budget_risk_term_environment|claude-haiku-4-5-20251001|20260824_1054|8,tokens,budget_risk_term_environment,claude,claude-haiku-4-5-20251001,20260824_1054,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50 CHF
Ethereum: 30 CHF
Polkadot: 20 CHF","[ProductRecommendation(product='Bitcoin', amount=50.0), ProductRecommendation(product='Ethereum', amount=30.0), ProductRecommendation(product='Polkadot', amount=20.0)]",recovery
