id,prompt,response
tokens-general-risk_term_environment|gemini-3.6-flash|20260813_1828|1,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 50%
Ethereum (ETH): 30%
USD Coin (USDC): 20%"
tokens-general-risk_term_environment|gemini-3.6-flash|20260813_1828|2,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","USDC: 50%
USDT: 40%
BTC: 10%"
tokens-general-risk_term_environment|gemini-3.6-flash|20260813_1828|3,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","USDC: 50%
Bitcoin: 35%
Ethereum: 15%"
tokens-general-risk_term_environment|gemini-3.6-flash|20260813_1828|4,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 50%
USD Coin (USDC): 30%
Ethereum (ETH): 20%"
tokens-general-risk_term_environment|gemini-3.6-flash|20260813_1828|5,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50%
Ethereum: 35%
USD Coin: 10%
Solana: 5%"
tokens-general-risk_term_environment|gemini-3.6-flash|20260813_1828|6,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 40%
USD Coin (USDC): 30%
Tether (USDT): 20%
Ethereum (ETH): 10%"
tokens-general-risk_term_environment|gemini-3.6-flash|20260813_1828|7,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60%
Ethereum: 30%
USD Coin: 10%"
tokens-general-risk_term_environment|gemini-3.6-flash|20260813_1828|8,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 50%
Ethereum (ETH): 35%
USD Coin (USDC): 15%"
tokens-general-risk_term_environment|gemini-3.6-flash|20260813_1828|9,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. My investment term is three to ten years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 60%
Ethereum (ETH): 30%
Solana (SOL): 5%
Chainlink (LINK): 5%"
tokens-general-risk_term_environment|gemini-3.6-flash|20260813_1828|10,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. My investment term is three to ten years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 60%
Ethereum (ETH): 30%
USD Coin (USDC): 10%"
tokens-general-risk_term_environment|gemini-3.6-flash|20260813_1828|11,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. My investment term is three to ten years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 65%
Ethereum (ETH): 25%
USD Coin (USDC): 10%"
