id,prompt,response
exchanges-general-budget_term_environment|claude-haiku-4-5-20251001|20260817_2242|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 30 CHF
Bitstamp: 20 CHF
Gemini: 10 CHF"
exchanges-general-budget_term_environment|claude-haiku-4-5-20251001|20260817_2242|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","1. Kraken: 40 CHF
2. Coinbase: 35 CHF
3. Bitstamp: 25 CHF"
exchanges-general-budget_term_environment|claude-haiku-4-5-20251001|20260817_2242|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 35 CHF
Bitstamp: 25 CHF"
exchanges-general-budget_term_environment|claude-haiku-4-5-20251001|20260817_2242|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 35 CHF
Bitstamp: 25 CHF"
exchanges-general-budget_term_environment|claude-haiku-4-5-20251001|20260817_2242|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 35 CHF
Bitstamp: 25 CHF"
exchanges-general-budget_term_environment|claude-haiku-4-5-20251001|20260817_2242|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 35 CHF
Bitstamp: 25 CHF"
exchanges-general-budget_term_environment|claude-haiku-4-5-20251001|20260817_2242|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 30 CHF
Bitstamp: 20 CHF
Gemini: 10 CHF"
exchanges-general-budget_term_environment|claude-haiku-4-5-20251001|20260817_2242|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 35 CHF
Bitstamp: 25 CHF"
exchanges-general-budget_term_environment|claude-haiku-4-5-20251001|20260817_2242|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 30 CHF
Bitstamp: 20 CHF
Gemini: 10 CHF"
exchanges-general-budget_term_environment|claude-haiku-4-5-20251001|20260817_2242|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 35 CHF
Bitstamp: 25 CHF"
exchanges-general-budget_term_environment|claude-haiku-4-5-20251001|20260817_2242|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 35 CHF
Bitstamp: 25 CHF"
