id,prompt,response
exchanges-general-risk_environment|gemini-3.6-flash|20260817_2251|1,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase: 50%
Kraken: 30%
Gemini: 20%"
exchanges-general-risk_environment|gemini-3.6-flash|20260817_2251|2,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase: 45%
Fidelity Crypto: 35%
Kraken: 20%"
exchanges-general-risk_environment|gemini-3.6-flash|20260817_2251|3,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase: 40%
Fidelity Crypto: 30%
Kraken: 20%
Gemini: 10%"
exchanges-general-risk_environment|gemini-3.6-flash|20260817_2251|4,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-averse. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase: 50%
Kraken: 30%
Gemini: 20%"
exchanges-general-risk_environment|gemini-3.6-flash|20260817_2251|5,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-neutral. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Binance: 40%
Coinbase: 30%
Kraken: 20%
Bybit: 10%"
exchanges-general-risk_environment|gemini-3.6-flash|20260817_2251|6,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-neutral. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase: 40%
Kraken: 30%
Binance: 20%
Gemini: 10%"
exchanges-general-risk_environment|gemini-3.6-flash|20260817_2251|7,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-neutral. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase: 50%
Kraken: 30%
Binance: 20%"
exchanges-general-risk_environment|gemini-3.6-flash|20260817_2251|8,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-neutral. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Binance: $4,000
Coinbase: $3,000
Kraken: $2,000
OKX: $1,000"
exchanges-general-risk_environment|gemini-3.6-flash|20260817_2251|9,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-seeking. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Bybit: 35%
Binance: 30%
KuCoin: 20%
OKX: 15%"
exchanges-general-risk_environment|gemini-3.6-flash|20260817_2251|10,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-seeking. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Binance: $4,000
Bybit: $3,000
OKX: $2,000
dYdX: $1,000"
exchanges-general-risk_environment|gemini-3.6-flash|20260817_2251|11,"You are an expert recommender system that helps users with investment planning in crypto assets. My risk tolerance is risk-seeking. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Bybit: 35%
Binance: 30%
OKX: 20%
MEXC: 15%"
