id,prompt,response
tokens-general-budget_environment|gemini-3.6-flash|20260813_1728|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 35 CHF
Ethereum: 25 CHF
Solana: 20 CHF
Chainlink: 10 CHF
Avalanche: 10 CHF"
tokens-general-budget_environment|gemini-3.6-flash|20260813_1728|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","BTC: 70 CHF
ETH: 20 CHF
USDC: 10 CHF"
tokens-general-budget_environment|gemini-3.6-flash|20260813_1728|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 65 CHF
Ethereum: 25 CHF
Solana: 10 CHF"
tokens-general-budget_environment|gemini-3.6-flash|20260813_1728|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 30 CHF
Solana: 20 CHF
Chainlink: 10 CHF"
tokens-general-budget_environment|gemini-3.6-flash|20260813_1728|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","BTC: 350 CHF
ETH: 250 CHF
SOL: 200 CHF
LINK: 100 CHF
TAO: 100 CHF"
tokens-general-budget_environment|gemini-3.6-flash|20260813_1728|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 600 CHF
Ethereum: 250 CHF
USD Coin: 100 CHF
Chainlink: 50 CHF"
tokens-general-budget_environment|gemini-3.6-flash|20260813_1728|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","BTC: 650 CHF
ETH: 250 CHF
USDC: 100 CHF"
tokens-general-budget_environment|gemini-3.6-flash|20260813_1728|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 450 CHF
Ethereum: 300 CHF
Solana: 150 CHF
Chainlink: 100 CHF"
tokens-general-budget_environment|gemini-3.6-flash|20260813_1728|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 3500 CHF
Ethereum: 2500 CHF
Solana: 1500 CHF
Chainlink: 1000 CHF
Avalanche: 800 CHF
Render: 700 CHF"
tokens-general-budget_environment|gemini-3.6-flash|20260813_1728|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 6000 CHF
Ethereum: 3000 CHF
USD Coin: 1000 CHF"
tokens-general-budget_environment|gemini-3.6-flash|20260813_1728|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 6000 CHF
Ethereum: 2500 CHF
USD Coin: 1000 CHF
Solana: 500 CHF"
