id,prompt,response
tokens-general-budget_risk|openai:gpt-5.5|20260813_1954|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 70 CHF
Ethereum: 20 CHF
USD Coin: 10 CHF"
tokens-general-budget_risk|openai:gpt-5.5|20260813_1954|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 45 CHF  
Ethereum: 30 CHF  
Solana: 15 CHF  
Chainlink: 10 CHF"
tokens-general-budget_risk|openai:gpt-5.5|20260813_1954|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Solana: 30 CHF
Ethereum: 25 CHF
Bitcoin: 20 CHF
Chainlink: 10 CHF
Render: 10 CHF
Arbitrum: 5 CHF"
tokens-general-budget_risk|openai:gpt-5.5|20260813_1954|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 700 CHF
Ethereum: 200 CHF
USD Coin: 100 CHF"
tokens-general-budget_risk|openai:gpt-5.5|20260813_1954|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 450 CHF
Ethereum: 300 CHF
Solana: 120 CHF
Chainlink: 70 CHF
Avalanche: 60 CHF"
tokens-general-budget_risk|openai:gpt-5.5|20260813_1954|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-seeking. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 300 CHF
Ethereum: 250 CHF
Solana: 200 CHF
Chainlink: 125 CHF
Render: 125 CHF"
tokens-general-budget_risk|openai:gpt-5.5|20260813_1954|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 6'000 CHF  
Ethereum: 2'500 CHF  
USDC: 1'500 CHF"
tokens-general-budget_risk|openai:gpt-5.5|20260813_1954|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 4'500 CHF
Ethereum: 3'000 CHF
Solana: 1'000 CHF
Chainlink: 500 CHF
Aave: 400 CHF
Uniswap: 300 CHF
Polygon: 300 CHF"
tokens-general-budget_risk|openai:gpt-5.5|20260813_1954|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-seeking. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 2'500 CHF
Ethereum: 2'500 CHF
Solana: 1'500 CHF
Chainlink: 1'000 CHF
Render: 800 CHF
Avalanche: 700 CHF
Arbitrum: 500 CHF
Aave: 500 CHF"
tokens-general-budget_risk|openai:gpt-5.5|20260813_1954|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12'000 CHF
Ethereum: 5'000 CHF
USD Coin: 3'000 CHF"
tokens-general-budget_risk|openai:gpt-5.5|20260813_1954|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 9'000 CHF
Ethereum: 6'000 CHF
Solana: 2'000 CHF
Chainlink: 1'500 CHF
Avalanche: 1'000 CHF
Polygon: 500 CHF"
