id,prompt,response
exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260817_2239|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 35 CHF
Bitstamp: 25 CHF"
exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260817_2239|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Coinbase: 30 CHF
Gemini: 20 CHF"
exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260817_2239|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 40 CHF
Bitstamp: 20 CHF"
exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260817_2239|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 35 CHF
Bitstamp: 25 CHF"
exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260817_2239|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 35 CHF
Bitstamp: 25 CHF"
exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260817_2239|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 30 CHF
Bitstamp: 20 CHF
Kraken Staking: 10 CHF"
exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260817_2239|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Binance: 40 CHF
Kraken: 30 CHF
Coinbase: 20 CHF
Bybit: 10 CHF"
exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260817_2239|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 30 CHF
Bitstamp: 20 CHF
Bybit: 10 CHF"
exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260817_2239|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 40 CHF
Coinbase: 30 CHF
Bitstamp: 20 CHF
Gemini: 10 CHF"
exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260817_2239|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 400 CHF
Coinbase: 300 CHF
Bitstamp: 300 CHF"
exchanges-general-budget_risk_term|claude-haiku-4-5-20251001|20260817_2239|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 400 CHF
Coinbase: 300 CHF
Bitstamp: 300 CHF"
