id,prompt,response
tokens-general-budget_risk_environment|gemini-3.6-flash|20260813_1818|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 25 CHF
USD Coin: 15 CHF"
tokens-general-budget_risk_environment|gemini-3.6-flash|20260813_1818|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","USDC: 50 CHF
BTC: 35 CHF
ETH: 15 CHF"
tokens-general-budget_risk_environment|gemini-3.6-flash|20260813_1818|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
USD Coin: 25 CHF
Ethereum: 15 CHF"
tokens-general-budget_risk_environment|gemini-3.6-flash|20260813_1818|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 30 CHF
USD Coin: 10 CHF"
tokens-general-budget_risk_environment|gemini-3.6-flash|20260813_1818|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Ethereum: 40 CHF
Bitcoin: 30 CHF
Solana: 20 CHF
Chainlink: 10 CHF"
tokens-general-budget_risk_environment|gemini-3.6-flash|20260813_1818|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 25 CHF
USD Coin: 15 CHF"
tokens-general-budget_risk_environment|gemini-3.6-flash|20260813_1818|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 40 CHF"
tokens-general-budget_risk_environment|gemini-3.6-flash|20260813_1818|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 45 CHF
Ethereum: 35 CHF
Solana: 20 CHF"
tokens-general-budget_risk_environment|gemini-3.6-flash|20260813_1818|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Solana: 35 CHF
Ethereum: 25 CHF
Near Protocol: 15 CHF
Chainlink: 15 CHF
Pepe: 10 CHF"
tokens-general-budget_risk_environment|gemini-3.6-flash|20260813_1818|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Solana (SOL): 40 CHF
Bitcoin (BTC): 20 CHF
Avalanche (AVAX): 20 CHF
Render (RENDER): 10 CHF
Pepe (PEPE): 10 CHF"
tokens-general-budget_risk_environment|gemini-3.6-flash|20260813_1818|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Solana: 40 CHF
Ethereum: 25 CHF
Avalanche: 20 CHF
Render: 15 CHF"
