id,prompt,response
exchanges-general-budget_term|grok-4.6|20260817_2150|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Binance: 50 CHF
Coinbase: 30 CHF
Kraken: 20 CHF"
exchanges-general-budget_term|grok-4.6|20260817_2150|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Coinbase: 30 CHF
Binance: 20 CHF"
exchanges-general-budget_term|grok-4.6|20260817_2150|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 60 CHF
Coinbase: 40 CHF"
exchanges-general-budget_term|grok-4.6|20260817_2150|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 500 CHF
Binance: 300 CHF
Coinbase: 200 CHF"
exchanges-general-budget_term|grok-4.6|20260817_2150|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 500 CHF
Coinbase: 300 CHF
Bitstamp: 200 CHF"
exchanges-general-budget_term|grok-4.6|20260817_2150|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 400 CHF
Coinbase: 350 CHF
Binance: 250 CHF"
exchanges-general-budget_term|grok-4.6|20260817_2150|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 4000
Coinbase: 3000
Binance: 2000
Bitstamp: 1000"
exchanges-general-budget_term|grok-4.6|20260817_2150|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 5000 CHF
Coinbase: 3000 CHF
Bitstamp: 2000 CHF"
exchanges-general-budget_term|grok-4.6|20260817_2150|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is three to ten years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 4000 CHF
Coinbase: 3000 CHF
Bitstamp: 3000 CHF"
exchanges-general-budget_term|grok-4.6|20260817_2150|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My investment term is less than one year. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 12000 CHF
Bitstamp: 8000 CHF"
exchanges-general-budget_term|grok-4.6|20260817_2150|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My investment term is one to three years. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase: 10000 CHF
Kraken: 7000 CHF
Bitcoin Suisse: 3000 CHF"
