id,prompt,response
tokens-general-budget_risk_term_environment|openai:gpt-5.5|20260813_1948|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 25 CHF
USDC: 15 CHF"
tokens-general-budget_risk_term_environment|openai:gpt-5.5|20260813_1948|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","USD Coin: 70 CHF
Bitcoin: 20 CHF
Ethereum: 10 CHF"
tokens-general-budget_risk_term_environment|openai:gpt-5.5|20260813_1948|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","USD Coin: 60 CHF  
PAX Gold: 30 CHF  
Bitcoin: 10 CHF"
tokens-general-budget_risk_term_environment|openai:gpt-5.5|20260813_1948|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is less than one year. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","USDC: 50 CHF
Bitcoin: 35 CHF
Ethereum: 15 CHF"
tokens-general-budget_risk_term_environment|openai:gpt-5.5|20260813_1948|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 30 CHF
USD Coin: 10 CHF"
tokens-general-budget_risk_term_environment|openai:gpt-5.5|20260813_1948|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF  
Ethereum: 25 CHF  
USDC: 15 CHF"
tokens-general-budget_risk_term_environment|openai:gpt-5.5|20260813_1948|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 70 CHF  
Ethereum: 30 CHF"
tokens-general-budget_risk_term_environment|openai:gpt-5.5|20260813_1948|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is one to three years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 70 CHF
Ethereum: 30 CHF"
tokens-general-budget_risk_term_environment|openai:gpt-5.5|20260813_1948|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 70 CHF
Ethereum: 20 CHF
USD Coin: 10 CHF"
tokens-general-budget_risk_term_environment|openai:gpt-5.5|20260813_1948|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 70 CHF
Ethereum: 20 CHF
USD Coin: 10 CHF"
tokens-general-budget_risk_term_environment|openai:gpt-5.5|20260813_1948|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. My investment term is three to ten years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 80 CHF  
Ethereum: 20 CHF"
