id,prompt,response
exchanges-general-budget_risk|openai:gpt-5.5|20260817_2312|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.",Swissquote: 100 CHF
exchanges-general-budget_risk|openai:gpt-5.5|20260817_2312|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.",Kraken: 100 CHF
exchanges-general-budget_risk|openai:gpt-5.5|20260817_2312|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 70 CHF  
Coinbase: 30 CHF"
exchanges-general-budget_risk|openai:gpt-5.5|20260817_2312|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-averse. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Swissquote: 700 CHF  
Kraken: 300 CHF"
exchanges-general-budget_risk|openai:gpt-5.5|20260817_2312|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-neutral. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 700 CHF  
Coinbase: 300 CHF"
exchanges-general-budget_risk|openai:gpt-5.5|20260817_2312|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-seeking. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 500 CHF
Binance: 350 CHF
Coinbase: 150 CHF"
exchanges-general-budget_risk|openai:gpt-5.5|20260817_2312|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-averse. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Swissquote: 5'000 CHF  
Kraken: 3'000 CHF  
Coinbase: 2'000 CHF"
exchanges-general-budget_risk|openai:gpt-5.5|20260817_2312|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-neutral. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 5'000 CHF
Swissquote: 3'000 CHF
Coinbase: 2'000 CHF"
exchanges-general-budget_risk|openai:gpt-5.5|20260817_2312|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-seeking. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 4'000 CHF  
Binance: 3'500 CHF  
Coinbase: 1'500 CHF  
Bitpanda: 1'000 CHF"
exchanges-general-budget_risk|openai:gpt-5.5|20260817_2312|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-averse. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Swissquote: 12'000 CHF  
Bitcoin Suisse: 5'000 CHF  
Kraken: 3'000 CHF"
exchanges-general-budget_risk|openai:gpt-5.5|20260817_2312|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-neutral. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 10'000 CHF
Coinbase: 6'000 CHF
Bitstamp: 4'000 CHF"
