id,prompt,response
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 35 CHF
Solana: 30 CHF
Ethereum: 20 CHF
Render: 15 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
USD Coin: 30 CHF
Ethereum: 10 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50 CHF
USD Coin: 30 CHF
Ethereum: 20 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 30 CHF
Solana: 20 CHF
Chainlink: 10 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 30 CHF
Solana: 20 CHF
Chainlink: 10 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 60 CHF
Ethereum (ETH): 30 CHF
Pax Gold (PAXG): 10 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 30 CHF
Solana: 10 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50 CHF
Ethereum: 30 CHF
Solana: 10 CHF
Chainlink: 10 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 40 CHF
Ethereum: 30 CHF
Solana: 20 CHF
Chainlink: 10 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 65 CHF
Ethereum: 25 CHF
Solana: 10 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 60 CHF
Ethereum: 30 CHF
Solana: 10 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|12,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 55 CHF
Ethereum: 30 CHF
Solana: 15 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|13,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is less than one year. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Solana: 350 CHF
Bitcoin: 300 CHF
Ethereum: 200 CHF
Avalanche: 150 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|14,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is less than one year. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","USDC: 400 CHF
BTC: 350 CHF
PAXG: 150 CHF
ETH: 100 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|15,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is less than one year. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 500 CHF
USD Coin: 300 CHF
Pax Gold: 120 CHF
Ethereum: 80 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|16,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is less than one year. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 400 CHF
Ethereum: 300 CHF
Solana: 200 CHF
Chainlink: 100 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|17,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is one to three years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 350 CHF
Ethereum: 300 CHF
Solana: 150 CHF
Chainlink: 100 CHF
Near Protocol: 100 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|18,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is one to three years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 600 CHF
Ethereum: 300 CHF
USD Coin: 100 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|19,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is one to three years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 600 CHF
Ethereum: 300 CHF
Solana: 100 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|20,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is one to three years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 400 CHF
Ethereum: 300 CHF
Solana: 150 CHF
Chainlink: 100 CHF
Render: 50 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|21,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is three to ten years. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 400 CHF
Ethereum: 300 CHF
Solana: 150 CHF
Chainlink: 100 CHF
NEAR Protocol: 50 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|22,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is three to ten years. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 650 CHF
Ethereum: 250 CHF
Chainlink: 100 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|23,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is three to ten years. The market environment is recession. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 600 CHF
Ethereum: 300 CHF
Solana: 100 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|24,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My investment term is three to ten years. The market environment is recovery. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 450 CHF
Ethereum: 350 CHF
Solana: 120 CHF
Chainlink: 80 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|25,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is less than one year. The market environment is expansion. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 3'500 CHF
Ethereum (ETH): 2'500 CHF
Solana (SOL): 2'000 CHF
Chainlink (LINK): 1'000 CHF
Avalanche (AVAX): 1'000 CHF"
tokens-general-budget_term_environment|gemini-3.6-flash|20260813_1835|26,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My investment term is less than one year. The market environment is crisis. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","USD Coin: 5000 CHF
Bitcoin: 3500 CHF
Ethereum: 1500 CHF"
