id,prompt,response
exchanges-general-budget_risk|gemini-3.6-flash|20260817_2256|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","SwissBorg: 60 CHF
Kraken: 40 CHF"
exchanges-general-budget_risk|gemini-3.6-flash|20260817_2256|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
SwissBorg: 30 CHF
Binance: 20 CHF"
exchanges-general-budget_risk|gemini-3.6-flash|20260817_2256|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Binance: 50 CHF
Bybit: 30 CHF
KuCoin: 20 CHF"
exchanges-general-budget_risk|gemini-3.6-flash|20260817_2256|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-averse. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Swissquote: 500 CHF
Kraken: 300 CHF
Coinbase: 200 CHF"
exchanges-general-budget_risk|gemini-3.6-flash|20260817_2256|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-neutral. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 500 CHF
Bitpanda: 300 CHF
Coinbase: 200 CHF"
exchanges-general-budget_risk|gemini-3.6-flash|20260817_2256|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-seeking. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Bybit: 500 CHF
Binance: 300 CHF
MEXC: 200 CHF"
exchanges-general-budget_risk|gemini-3.6-flash|20260817_2256|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-averse. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Swissquote: 5000 CHF
Kraken: 3000 CHF
Coinbase: 2000 CHF"
exchanges-general-budget_risk|gemini-3.6-flash|20260817_2256|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-neutral. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 5000 CHF
Coinbase: 3000 CHF
SwissBorg: 2000 CHF"
exchanges-general-budget_risk|gemini-3.6-flash|20260817_2256|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-seeking. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Bybit: 4'000 CHF
Binance: 3'000 CHF
MEXC: 2'000 CHF
KuCoin: 1'000 CHF"
exchanges-general-budget_risk|gemini-3.6-flash|20260817_2256|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-averse. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Swissquote: 10'000 CHF
Kraken: 6'000 CHF
Coinbase: 4'000 CHF"
exchanges-general-budget_risk|gemini-3.6-flash|20260817_2256|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-neutral. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","SwissBorg: 8'000 CHF
Kraken: 7'000 CHF
Bitstamp: 3'000 CHF
Coinbase: 2'000 CHF"
