id,prompt,response
exchanges-general-budget_term_environment|grok-4.6|20260817_2223|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 60 CHF
Coinbase: 40 CHF"
exchanges-general-budget_term_environment|grok-4.6|20260817_2223|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase: 50 CHF
Kraken: 30 CHF
Bitstamp: 20 CHF"
exchanges-general-budget_term_environment|grok-4.6|20260817_2223|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Coinbase: 30 CHF
Binance: 20 CHF"
exchanges-general-budget_term_environment|grok-4.6|20260817_2223|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is less than one year. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Binance: 50 CHF
Kraken: 30 CHF
Coinbase: 20 CHF"
exchanges-general-budget_term_environment|grok-4.6|20260817_2223|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 70 CHF
Coinbase: 30 CHF"
exchanges-general-budget_term_environment|grok-4.6|20260817_2223|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
SwissBorg: 30 CHF
Coinbase: 20 CHF"
exchanges-general-budget_term_environment|grok-4.6|20260817_2223|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Coinbase: 30 CHF
Binance: 20 CHF"
exchanges-general-budget_term_environment|grok-4.6|20260817_2223|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is one to three years. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase: 50 CHF
Kraken: 30 CHF
Bitstamp: 20 CHF"
exchanges-general-budget_term_environment|grok-4.6|20260817_2223|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 60 CHF
Coinbase: 40 CHF"
exchanges-general-budget_term_environment|grok-4.6|20260817_2223|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase: 60 CHF
Kraken: 40 CHF"
exchanges-general-budget_term_environment|grok-4.6|20260817_2223|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My investment term is three to ten years. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken: 50 CHF
Coinbase: 30 CHF
Bitstamp: 20 CHF"
