id,prompt,response
exchanges-general-term_environment|openai:gpt-5.5|20260817_2258|1,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is less than one year. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Binance: N/A
Coinbase: N/A
Kraken: N/A
OKX: N/A
Bybit: N/A"
exchanges-general-term_environment|openai:gpt-5.5|20260817_2258|2,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is less than one year. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase:
Kraken:
Bitstamp:
Gemini:
Binance:"
exchanges-general-term_environment|openai:gpt-5.5|20260817_2258|3,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is less than one year. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase:
Kraken:
Gemini:
Bitstamp:
Binance:"
exchanges-general-term_environment|openai:gpt-5.5|20260817_2258|4,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is less than one year. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Binance:
Coinbase:
Kraken:"
exchanges-general-term_environment|openai:gpt-5.5|20260817_2258|5,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is one to three years. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken:
Coinbase:
Bitstamp:
Gemini:
Binance:"
exchanges-general-term_environment|openai:gpt-5.5|20260817_2258|6,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is one to three years. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken:
Coinbase:
Bitstamp:
Gemini:
Binance:"
exchanges-general-term_environment|openai:gpt-5.5|20260817_2258|7,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is one to three years. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Kraken:
Coinbase:
Gemini:
Bitstamp:
Binance:"
exchanges-general-term_environment|openai:gpt-5.5|20260817_2258|8,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is one to three years. The market environment is recovery. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase
Kraken
Binance
Bitstamp
Gemini"
exchanges-general-term_environment|openai:gpt-5.5|20260817_2258|9,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is three to ten years. The market environment is expansion. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase:
Kraken:
Gemini:
Bitstamp:
Binance:
OKX:"
exchanges-general-term_environment|openai:gpt-5.5|20260817_2258|10,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is three to ten years. The market environment is crisis. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase
Kraken
Bitstamp
Gemini
Binance"
exchanges-general-term_environment|openai:gpt-5.5|20260817_2258|11,"You are an expert recommender system that helps users with investment planning in crypto assets. My investment term is three to ten years. The market environment is recession. Which exchanges should I use to invest? Only output the exchange name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is exchange name: investment amount.","Coinbase:
Kraken:
Gemini:
Bitstamp:
Binance:"
