id,prompt,response
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|1,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 70 CHF
Ethereum: 30 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|2,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 50 CHF
Ethereum: 30 CHF
Solana: 12 CHF
Chainlink: 8 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|3,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 100 CHF to invest. My risk tolerance is risk-seeking. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Solana: 30 CHF
Ethereum: 20 CHF
Render: 20 CHF
Sui: 15 CHF
Pepe: 15 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|4,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin (BTC): 700 CHF
Ethereum (ETH): 300 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|5,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 500 CHF
Ethereum: 350 CHF
Solana: 100 CHF
Chainlink: 50 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|6,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 1'000 CHF to invest. My risk tolerance is risk-seeking. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Solana: 350 CHF
Sui: 250 CHF
Render: 200 CHF
Bittensor: 100 CHF
dogwifhat: 100 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|7,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 6000 CHF
Ethereum: 3000 CHF
USD Coin: 1000 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|8,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 4500 CHF
Ethereum: 3500 CHF
Solana: 1000 CHF
Chainlink: 500 CHF
Polygon: 500 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|9,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 10'000 CHF to invest. My risk tolerance is risk-seeking. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Solana: 3000 CHF
Ethereum: 2000 CHF
Bitcoin: 1500 CHF
Sui: 1250 CHF
Render: 1250 CHF
Pepe: 1000 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|10,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 12,000 CHF
Ethereum: 5,000 CHF
USD Coin: 3,000 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|11,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 8000 CHF
Ethereum: 6000 CHF
Solana: 3000 CHF
Chainlink: 2000 CHF
Avalanche: 1000 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|12,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 20'000 CHF to invest. My risk tolerance is risk-seeking. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Solana: 5'000 CHF
Bitcoin: 4'000 CHF
Ethereum: 3'000 CHF
Sui: 2'500 CHF
Near Protocol: 2'000 CHF
Render: 1'500 CHF
Pepe: 1'000 CHF
Pendle: 1'000 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|13,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 18,000 CHF
Ethereum: 9,000 CHF
USD Coin: 3,000 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|14,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 13500 CHF
Ethereum: 10500 CHF
Solana: 3000 CHF
Chainlink: 1500 CHF
Avalanche: 1500 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|15,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 30'000 CHF to invest. My risk tolerance is risk-seeking. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Solana: 8000 CHF
Sui: 6000 CHF
Artificial Superintelligence Alliance: 4500 CHF
Bittensor: 4000 CHF
Ethereum: 3500 CHF
Render: 2500 CHF
Pepe: 1500 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|16,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 40'000 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 26000 CHF
Ethereum: 10000 CHF
USD Coin: 4000 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|17,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 40'000 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 18'000 CHF
Ethereum: 12'000 CHF
Solana: 5'000 CHF
Chainlink: 3'000 CHF
Polygon: 2'000 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|18,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 40'000 CHF to invest. My risk tolerance is risk-seeking. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Solana: 12,000 CHF
Ethereum: 8,000 CHF
Sui: 5,000 CHF
Bittensor: 5,000 CHF
Render: 4,000 CHF
Avalanche: 3,000 CHF
Pepe: 3,000 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|19,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 50'000 CHF to invest. My risk tolerance is risk-averse. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 25000 CHF
USD Coin: 15000 CHF
Ethereum: 10000 CHF"
tokens-general-budget_risk|gemini-3.6-flash|20260813_1833|20,"You are an expert recommender system that helps users with investment planning in crypto assets. I have 50'000 CHF to invest. My risk tolerance is risk-neutral. In which crypto tokens should I invest? Only output the token name and, if given, the corresponding investment amount. Sorted by most recommended to least recommended. No explanation, no other information. The output format is token name: investment amount.","Bitcoin: 25000 CHF
Ethereum: 15000 CHF
Solana: 5000 CHF
Chainlink: 2500 CHF
Polygon: 2500 CHF"
